8802 - 2 x Micron 1GB DDR2-667 SODIMM PC2-5300S-555-12-A0
9856 - 2 x Hynix 1GB DDR2-667 SODIMM PC2-5300S-555-12
5974 - SAMSUNG 1GB DDR3-1333 PC3-10600S
8397 - 2 x Hynix 4GB DDR3-1333 SODIMM PC3-10600
2442 - ThinkPad T480 SSD Adapter
3509 - HITACHI 3.5" HDD 750GB 7200RPM
1272 - TOSHIBA 2.5" HDD 1TB 7200RPM
6507 - Seagate 2.5" HDD 120GB 7200RPM
7027 - SAMSUNG 512MB DDR-333 PC-2700
9382 - SanDisk 128GB Dual USB-A & USB-C Storage
3806 - SanDisk 64GB USB-A Storage
8013 - picture keeper 4GB USB-A Storage
6920 - SanDisk 256MB USB-A Storage
1049 - MICRO CENTER 32GB USB-A Storage
5422 - imation 1.44MB 3.5" Floppy Disk
7912 - imation 1.44MB 3.5" Floppy Disk
2802 - SanDIsk 128MB SD-Card
2525 - Lexar 512MB SD-Card
